Date,BTC Price,Nasdaq Price,Nasdaq Crypto Price,Crypto Fear & Greed Index,VIX Index,Solana Price
2021-04-26,54021.75390625,53.34333419799805,53.099998474121094,27,17.639999389648438,43.97651672363281
2021-04-27,55033.1171875,53.599998474121094,51.65999984741211,50,17.559999465942383,43.2390022277832
2021-04-28,54824.703125,53.21666717529297,51.599998474121094,59,17.280000686645508,44.825984954833984
2021-04-29,53555.109375,53.96333312988281,49.45000076293945,52,17.610000610351562,42.460540771484375
2021-04-30,57750.17578125,53.8466682434082,52.650001525878906,51,18.610000610351562,42.95600128173828
2021-05-01,57828.05078125,53.952223459879555,53.36666742960612,68,18.510000228881836,49.50802230834961
2021-05-02,56631.078125,54.057778676350914,54.083333333333336,66,18.40999984741211,46.890987396240234
2021-05-03,57200.29296875,54.163333892822266,54.79999923706055,61,18.309999465942383,45.93368911743164
2021-05-04,53333.5390625,54.51333236694336,54.29999923706055,68,19.479999542236328,42.729557037353516
2021-05-05,57424.0078125,54.516666412353516,55.95000076293945,48,19.149999618530273,44.92357635498047
2021-05-06,56396.515625,54.526668548583984,55.599998474121094,65,18.389999389648438,43.4556770324707
2021-05-07,57356.40234375,54.85333251953125,55.790000915527344,64,16.690000534057617,43.1550178527832
2021-05-08,58803.77734375,54.738887786865234,56.05666732788086,67,17.68000030517578,45.56153106689453
2021-05-09,58232.31640625,54.62444305419922,56.323333740234375,73,18.670000076293945,44.330196380615234
2021-05-10,55859.796875,54.5099983215332,56.59000015258789,72,19.65999984741211,42.90963363647461
2021-05-11,56704.57421875,53.24333190917969,57.29999923706055,61,21.84000015258789,44.57746887207031
2021-05-12,49150.53515625,52.78666687011719,56.45000076293945,68,27.59000015258789,42.45730972290039
2021-05-13,49716.19140625,53.633331298828125,50.97999954223633,31,23.1299991607666,40.99785232543945
2021-05-14,49880.53515625,54.78666687011719,52.90999984741211,26,18.809999465942383,42.717864990234375
2021-05-15,46760.1875,54.71888860066732,50.86333338419596,27,19.113332748413086,43.461307525634766
2021-05-16,46456.05859375,54.651110331217446,48.81666692097982,20,19.41666603088379,47.200828552246094
